AID,SLID,ELID
2,4317,4363
9,4399,4451
10,4452,4475
11,4476,4527
12,4528,4616
13,4617,4672
14,4673,4732
15,4733,4801
17,4805,4850
18,4851,4888
19,4889,4948
20,4949,4988
21,4989,5024
22,5025,5061
23,5062,5131
25,5135,5138
26,5139,5142
27,5143,5146
28,5147,5150
29,5151,5154
30,5155,5158
31,5159,5162
32,5163,5171
33,5172,5195
34,5196,5199
35,5200,5206
36,5207,5210
37,5211,5214
38,5215,5218
39,5219,5226
40,5227,5230
41,5231,5263
42,5264,5267
43,5268,5271
44,5272,5275
45,5276,5280
46,5281,5287
47,5288,5291
48,5292,5302
49,5303,5306
50,5307,5310
51,5311,5314
52,5315,5323
53,5324,5351
54,5352,5381
55,5382,5407
56,5408,5443
57,5444,5462
58,5463,5496
59,5497,5542
60,5543,5602
61,5603,5641
62,5642,5673
63,5674,5707
64,5708,5752
65,5753,5785
66,5786,5817
67,5818,5850
68,5851,5881
69,5882,5946
70,5947,6014
71,6015,6044
72,6045,6074
73,6075,6090
74,6091,6109
75,6110,6124
76,6125,6141
77,6142,6196
78,6197,6238
79,6239,6289
80,6290,6334
81,6335,6390
83,6476,6543
84,6544,6606
85,6607,6645
86,6646,6651
87,6652,6657
88,6658,6663
89,6664,6669
90,6670,6673
91,6674,6678
94,6727,6732
95,6733,6740
96,6741,6795
97,6796,6809
98,6810,6820
99,6821,6837
100,6838,6848
101,6849,6858
102,6859,6876
103,6877,6884
104,6885,6893
105,6894,6904
106,6905,6911
107,6912,6920
108,6921,6947
109,6948,6960
110,6961,6971
111,6972,6991
112,6992,7030
113,7031,7044
114,7045,7141
115,7142,7154
116,7155,7229
117,7230,7244
118,7245,7292
119,7293,7376
120,7377,7479
121,7480,7628
123,7714,7774
124,7775,7843
126,7891,7936
127,7937,7975
128,7976,8035
129,8036,8075
130,8076,8106
131,8107,8142
132,8143,8175
133,8176,8212
134,8213,8282
135,8283,8329
136,8330,8383
137,8384,8411
138,8412,8441
139,8442,8467
140,8468,8503
141,8504,8527
142,8528,8579
143,8580,8598
144,8599,8658
145,8659,8704
146,8705,8793
147,8794,8827
148,8828,8866
149,8867,8898
150,8899,8932
151,8933,8977
152,8978,9033
153,9034,9066
154,9067,9098
155,9099,9131
